Number of road accidents,Number of persons killed in road accidents ,Number of grievously injured persons,Number of minor injured persons,Year_int,State_encoded,City_encoded,Vechile_impacted_encoded
-0.5198313339926867,-0.5530563018183586,-0.3994221767714088,-0.38909419858649513,1.2242911781471304,-0.5689359052003111,-0.8665048013587695,0.3871548642195896
-0.39221975911344686,-0.2973876957261022,-0.3449332547559991,-0.2934623336410533,0.0,-2.1830148455057157,1.627623883633364,-1.1614645926587688
-0.45602554655306676,-0.4731598624145285,-0.3313110242521467,-0.36392791833769467,0.0,-1.1742155078148377,1.4890611789115789,-1.1614645926587688
-0.27132458291206174,-0.3932634230106984,-0.08611087518280316,-0.1575644202975307,1.2242911781471304,-2.1830148455057157,1.6969052359942567,-1.5486194568783584
-0.25117538687849755,0.2778666679814748,0.06373366035957344,-0.37399443043721486,0.0,-1.98125497796754,0.8655290076635456,0.7743097284391792
0.7159860227325834,1.1087896377813082,0.6154339957655963,0.28536211208135787,1.2242911781471304,-2.1830148455057157,1.627623883633364,0.7743097284391792
-0.44930914787521203,-0.4731598624145285,-0.29725544799251563,-0.36392791833769467,0.0,-2.1830148455057157,1.6969052359942567,-1.1614645926587688
0.6723294313265276,-0.1216155290376759,-0.37217771576370395,0.09409838219047416,1.2242911781471304,-1.5777352428911888,1.0040917123853308,-0.3871548642195896
-0.2813991809288438,-0.4731598624145285,-0.12016645144243421,-0.10219860375016962,-1.2242911781471304,-0.16541617012396,-0.1736912777498435,-1.5486194568783584
-0.08998181860998407,-0.1216155290376759,-0.31087767849636805,0.20986327133495639,-1.2242911781471304,-1.3759753753530133,-0.9357861537196621,-0.7743097284391792
2.640234243937963,0.4855974104314331,4.7634031841886575,0.5772909629674434,-1.2242911781471304,-0.16541617012396,0.0341527793328343,1.5486194568783584
-0.4358763505195026,-0.44120128665299646,-0.38579994626755637,-0.16259767634729078,0.0,-0.9724556402766622,-0.7972234489978769,-0.3871548642195896
-0.5164731346537593,-0.5530563018183586,-0.3994221767714088,-0.38909419858649513,0.0,-1.1742155078148377,1.2119357694680086,0.0
-0.4190853538248658,-0.37728413512993236,-0.2700109869848108,-0.37399443043721486,0.0,-0.5689359052003111,-0.3122539824716287,1.5486194568783584
0.2592709126384618,-0.21749125632227206,1.1058342939042833,-0.17266418844681097,-1.2242911781471304,-0.16541617012396,1.2812171218289012,-1.5486194568783584
-0.513114935314832,-0.5530563018183586,-0.3994221767714088,-0.37902768648697494,0.0,-1.1742155078148377,-1.6285996773285882,-0.7743097284391792
0.3566586934673554,1.012913910496712,-0.30406656324444187,0.39609374517608,1.2242911781471304,-1.5777352428911888,1.0040917123853308,0.7743097284391792
0.8032992055446948,0.2618873801007088,0.5677561890021129,0.1947635031856761,1.2242911781471304,-0.3671760376621356,-1.2821929155241252,-0.3871548642195896
-0.38886155977451947,-0.4571805745337625,-0.16103314295399146,-0.38406094253673506,-1.2242911781471304,-1.98125497796754,0.8655290076635456,-1.5486194568783584
5.088361562016011,4.528357244265238,7.658127166257296,2.308731044084917,1.2242911781471304,-0.3671760376621356,-1.2821929155241252,1.5486194568783584
-0.40901075580808366,-0.26542911996457014,-0.23595541072517975,-0.38909419858649513,0.0,-1.98125497796754,0.8655290076635456,0.3871548642195896
-0.4258017525027205,-0.3932634230106984,-0.38579994626755637,-0.2884290775912932,-1.2242911781471304,-1.7794951104293644,-1.14363021080234,-1.1614645926587688
2.59321945319298,1.2046653650659045,4.86556991296755,1.4329444914266598,-1.2242911781471304,-0.16541617012396,0.5191222458590825,-0.3871548642195896
-0.5063985366369772,-0.5370770139375927,-0.3994221767714088,-0.38406094253673506,1.2242911781471304,-1.5777352428911888,1.0040917123853308,-0.7743097284391792
-0.4224435531637931,-0.3293462714876343,-0.29044433274058945,-0.3437948941386543,-1.2242911781471304,-1.1742155078148377,-1.6285996773285882,-1.1614645926587688
-0.4996821379591225,-0.5210977260568266,-0.3994221767714088,-0.37399443043721486,0.0,-0.7706957727384867,1.142654417107116,-0.7743097284391792
-0.5198313339926867,-0.5530563018183586,-0.3994221767714088,-0.38909419858649513,-1.2242911781471304,-0.16541617012396,-0.1736912777498435,0.3871548642195896
-0.5030403372980499,-0.5051184381760606,-0.3653666005117777,-0.38909419858649513,0.0,-0.5689359052003111,-0.3122539824716287,0.3871548642195896
-0.38550336043559214,-0.3932634230106984,-0.3994221767714088,-0.22803000499417206,0.0,-0.7706957727384867,1.142654417107116,0.3871548642195896
-0.2377425895227881,-0.42522199877223044,-0.3313110242521467,-0.36896117438745474,1.2242911781471304,-2.1830148455057157,1.6969052359942567,1.1614645926587688
